---------------------------------------------------------------------------------------------------
Date: 5/6/2026 -- 02:22:41 (uptime: 0d, 00h 00m 08s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
tcp.segment_from_cache                                       | Total                     | 171
tcp.segment_from_pool                                        | Total                     | 16
tcp.overlap                                                  | Total                     | 2
detect.alert                                                 | Total                     | 2
app_layer.flow.http                                          | Total                     | 3
app_layer.tx.http                                            | Total                     | 3
flow.end.state.new                                           | Total                     | 2
flow.end.state.closed                                        | Total                     | 3
flow.end.tcp_state.closed                                    | Total                     | 3
flow.mgr.full_hash_pass                                      | Total                     | 189
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 9605
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 11
flow.mgr.flows_notimeout                                     | Total                     | 6
flow.mgr.flows_timeout                                       | Total                     | 5
flow.mgr.flows_evicted                                       | Total                     | 5
memcap.pressure                                              | Total                     | 7
memcap.pressure_max                                          | Total                     | 7
defrag.memuse                                                | Total                     | 33554432
flow.recycler.recycled                                       | Total                     | 5
flow.recycler.queue_max                                      | Total                     | 1
tcp.memuse                                                   | Total                     | 4980736
tcp.reassembly_memuse                                        | Total                     | 917504
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7234304
---------------------------------------------------------------------------------------------------
Date: 5/6/2026 -- 03:25:34 (uptime: 0d, 00h 31m 37s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 405
capture.afpacket.polls                                       | Total                     | 151259
capture.afpacket.poll_timeout                                | Total                     | 151212
capture.afpacket.poll_data                                   | Total                     | 47
decoder.pkts                                                 | Total                     | 402
decoder.bytes                                                | Total                     | 287822
decoder.ipv4                                                 | Total                     | 375
decoder.ipv6                                                 | Total                     | 8
decoder.ethernet                                             | Total                     | 402
decoder.arp                                                  | Total                     | 19
decoder.tcp                                                  | Total                     | 375
tcp.syn                                                      | Total                     | 3
tcp.synack                                                   | Total                     | 3
decoder.icmpv6                                               | Total                     | 8
decoder.avg_pkt_size                                         | Total                     | 715
decoder.max_pkt_size                                         | Total                     | 1486
flow.total                                                   | Total                     | 5
flow.tcp                                                     | Total                     | 3
flow.icmpv6                                                  | Total                     | 2
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 4
decoder.event.ipv6.zero_len_padn                             | Total                     | 8
tcp.sessions                                                 | Total                     | 3
tcp.ssn_from_pool                                            | Total                     | 3
tcp.segment_from_cache                                       | Total                     | 171
tcp.segment_from_pool                                        | Total                     | 16
tcp.overlap                                                  | Total                     | 2
detect.alert                                                 | Total                     | 2
app_layer.flow.http                                          | Total                     | 3
app_layer.tx.http                                            | Total                     | 3
flow.end.state.new                                           | Total                     | 2
flow.end.state.closed                                        | Total                     | 3
flow.end.tcp_state.closed                                    | Total                     | 3
flow.mgr.full_hash_pass                                      | Total                     | 190
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 9605
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 11
flow.mgr.flows_notimeout                                     | Total                     | 6
flow.mgr.flows_timeout                                       | Total                     | 5
flow.mgr.flows_evicted                                       | Total                     | 5
memcap.pressure                                              | Total                     | 7
memcap.pressure_max                                          | Total                     | 7
defrag.memuse                                                | Total                     | 33554432
flow.recycler.recycled                                       | Total                     | 5
flow.recycler.queue_max                                      | Total                     | 1
tcp.memuse                                                   | Total                     | 4980736
tcp.reassembly_memuse                                        | Total                     | 917504
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7234304
---------------------------------------------------------------------------------------------------
Date: 5/6/2026 -- 03:25:42 (uptime: 0d, 00h 31m 45s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 405
capture.afpacket.polls                                       | Total                     | 151739
capture.afpacket.poll_timeout                                | Total                     | 151692
capture.afpacket.poll_data                                   | Total                     | 47
decoder.pkts                                                 | Total                     | 402
decoder.bytes                                                | Total                     | 287822
decoder.ipv4                                                 | Total                     | 375
decoder.ipv6                                                 | Total                     | 8
decoder.ethernet                                             | Total                     | 402
decoder.arp                                                  | Total                     | 19
decoder.tcp                                                  | Total                     | 375
tcp.syn                                                      | Total                     | 3
tcp.synack                                                   | Total                     | 3
decoder.icmpv6                                               | Total                     | 8
decoder.avg_pkt_size                                         | Total                     | 715
decoder.max_pkt_size                                         | Total                     | 1486
flow.total                                                   | Total                     | 5
flow.tcp                                                     | Total                     | 3
flow.icmpv6                                                  | Total                     | 2
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 4
decoder.event.ipv6.zero_len_padn                             | Total                     | 8
tcp.sessions                                                 | Total                     | 3
tcp.ssn_from_pool                                            | Total                     | 3
tcp.segment_from_cache                                       | Total                     | 171
tcp.segment_from_pool                                        | Total                     | 16
tcp.overlap                                                  | Total                     | 2
detect.alert                                                 | Total                     | 2
app_layer.flow.http                                          | Total                     | 3
app_layer.tx.http                                            | Total                     | 3
flow.end.state.new                                           | Total                     | 2
flow.end.state.closed                                        | Total                     | 3
flow.end.tcp_state.closed                                    | Total                     | 3
flow.mgr.full_hash_pass                                      | Total                     | 191
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 9605
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 11
flow.mgr.flows_notimeout                                     | Total                     | 6
flow.mgr.flows_timeout                                       | Total                     | 5
flow.mgr.flows_evicted                                       | Total                     | 5
memcap.pressure                                              | Total                     | 7
memcap.pressure_max                                          | Total                     | 7
defrag.memuse                                                | Total                     | 33554432
flow.recycler.recycled                                       | Total                     | 5
flow.recycler.queue_max                                      | Total                     | 1
tcp.memuse                                                   | Total                     | 4980736
tcp.reassembly_memuse                                        | Total                     | 917504
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7234304
---------------------------------------------------------------------------------------------------
Date: 5/6/2026 -- 03:25:50 (uptime: 0d, 00h 31m 53s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 405
capture.afpacket.polls                                       | Total                     | 152459
capture.afpacket.poll_timeout                                | Total                     | 152412
capture.afpacket.poll_data                                   | Total                     | 47
decoder.pkts                                                 | Total                     | 402
decoder.bytes                                                | Total                     | 287822
decoder.ipv4                                                 | Total                     | 375
decoder.ipv6                                                 | Total                     | 8
decoder.ethernet                                             | Total                     | 402
decoder.arp                                                  | Total                     | 19
decoder.tcp                                                  | Total                     | 375
tcp.syn                                                      | Total                     | 3
tcp.synack                                                   | Total                     | 3
decoder.icmpv6                                               | Total                     | 8
decoder.avg_pkt_size                                         | Total                     | 715
decoder.max_pkt_size                                         | Total                     | 1486
flow.total                                                   | Total                     | 5
flow.tcp                                                     | Total                     | 3
flow.icmpv6                                                  | Total                     | 2
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 4
decoder.event.ipv6.zero_len_padn                             | Total                     | 8
tcp.sessions                                                 | Total                     | 3
tcp.ssn_from_pool                                            | Total                     | 3
tcp.segment_from_cache                                       | Total                     | 171
tcp.segment_from_pool                                        | Total                     | 16
tcp.overlap                                                  | Total                     | 2
detect.alert                                                 | Total                     | 2
app_layer.flow.http                                          | Total                     | 3
app_layer.tx.http                                            | Total                     | 3
flow.end.state.new                                           | Total                     | 2
flow.end.state.closed                                        | Total                     | 3
flow.end.tcp_state.closed                                    | Total                     | 3
flow.mgr.full_hash_pass                                      | Total                     | 191
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 9605
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 11
flow.mgr.flows_notimeout                                     | Total                     | 6
flow.mgr.flows_timeout                                       | Total                     | 5
flow.mgr.flows_evicted                                       | Total                     | 5
memcap.pressure                                              | Total                     | 7
memcap.pressure_max                                          | Total                     | 7
defrag.memuse                                                | Total                     | 33554432
flow.recycler.recycled                                       | Total                     | 5
flow.recycler.queue_max                                      | Total                     | 1
tcp.memuse                                                   | Total                     | 4980736
tcp.reassembly_memuse                                        | Total                     | 917504
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7234304
---------------------------------------------------------------------------------------------------
Date: 5/6/2026 -- 03:25:58 (uptime: 0d, 00h 32m 01s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 405
capture.afpacket.polls                                       | Total                     | 153171
capture.afpacket.poll_timeout                                | Total                     | 153124
capture.afpacket.poll_data                                   | Total                     | 47
decoder.pkts                                                 | Total                     | 402
decoder.bytes                                                | Total                     | 287822
decoder.ipv4                                                 | Total                     | 375
decoder.ipv6                                                 | Total                     | 8
decoder.ethernet                                             | Total                     | 402
decoder.arp                                                  | Total                     | 19
decoder.tcp                                                  | Total                     | 375
tcp.syn                                                      | Total                     | 3
tcp.synack                                                   | Total                     | 3
decoder.icmpv6                                               | Total                     | 8
decoder.avg_pkt_size                                         | Total                     | 715
decoder.max_pkt_size                                         | Total                     | 1486
flow.total                                                   | Total                     | 5
flow.tcp                                                     | Total                     | 3
flow.icmpv6                                                  | Total                     | 2
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 4
decoder.event.ipv6.zero_len_padn                             | Total                     | 8
tcp.sessions                                                 | Total                     | 3
tcp.ssn_from_pool                                            | Total                     | 3
tcp.segment_from_cache                                       | Total                     | 171
tcp.segment_from_pool                                        | Total                     | 16
tcp.overlap                                                  | Total                     | 2
detect.alert                                                 | Total                     | 2
app_layer.flow.http                                          | Total                     | 3
app_layer.tx.http                                            | Total                     | 3
flow.end.state.new                                           | Total                     | 2
flow.end.state.closed                                        | Total                     | 3
flow.end.tcp_state.closed                                    | Total                     | 3
flow.mgr.full_hash_pass                                      | Total                     | 192
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 9605
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 11
flow.mgr.flows_notimeout                                     | Total                     | 6
flow.mgr.flows_timeout                                       | Total                     | 5
flow.mgr.flows_evicted                                       | Total                     | 5
memcap.pressure                                              | Total                     | 7
memcap.pressure_max                                          | Total                     | 7
defrag.memuse                                                | Total                     | 33554432
flow.recycler.recycled                                       | Total                     | 5
flow.recycler.queue_max                                      | Total                     | 1
tcp.memuse                                                   | Total                     | 4980736
tcp.reassembly_memuse                                        | Total                     | 917504
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7234304
---------------------------------------------------------------------------------------------------
Date: 5/6/2026 -- 03:26:06 (uptime: 0d, 00h 32m 09s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 405
capture.afpacket.polls                                       | Total                     | 153651
capture.afpacket.poll_timeout                                | Total                     | 153604
capture.afpacket.poll_data                                   | Total                     | 47
decoder.pkts                                                 | Total                     | 402
decoder.bytes                                                | Total                     | 287822
decoder.ipv4                                                 | Total                     | 375
decoder.ipv6                                                 | Total                     | 8
decoder.ethernet                                             | Total                     | 402
decoder.arp                                                  | Total                     | 19
decoder.tcp                                                  | Total                     | 375
tcp.syn                                                      | Total                     | 3
tcp.synack                                                   | Total                     | 3
decoder.icmpv6                                               | Total                     | 8
decoder.avg_pkt_size                                         | Total                     | 715
decoder.max_pkt_size                                         | Total                     | 1486
flow.total                                                   | Total                     | 5
flow.tcp                                                     | Total                     | 3
flow.icmpv6                                                  | Total                     | 2
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 4
decoder.event.ipv6.zero_len_padn                             | Total                     | 8
tcp.sessions                                                 | Total                     | 3
tcp.ssn_from_pool                                            | Total                     | 3
tcp.segment_from_cache                                       | Total                     | 171
tcp.segment_from_pool                                        | Total                     | 16
tcp.overlap                                                  | Total                     | 2
detect.alert                                                 | Total                     | 2
app_layer.flow.http                                          | Total                     | 3
app_layer.tx.http                                            | Total                     | 3
flow.end.state.new                                           | Total                     | 2
flow.end.state.closed                                        | Total                     | 3
flow.end.tcp_state.closed                                    | Total                     | 3
flow.mgr.full_hash_pass                                      | Total                     | 193
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 9605
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 11
flow.mgr.flows_notimeout                                     | Total                     | 6
flow.mgr.flows_timeout                                       | Total                     | 5
flow.mgr.flows_evicted                                       | Total                     | 5
memcap.pressure                                              | Total                     | 7
memcap.pressure_max                                          | Total                     | 7
defrag.memuse                                                | Total                     | 33554432
flow.recycler.recycled                                       | Total                     | 5
flow.recycler.queue_max                                      | Total                     | 1
tcp.memuse                                                   | Total                     | 4980736
tcp.reassembly_memuse                                        | Total                     | 917504
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7234304
---------------------------------------------------------------------------------------------------
Date: 5/6/2026 -- 03:26:14 (uptime: 0d, 00h 32m 17s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 405
capture.afpacket.polls                                       | Total                     | 154371
capture.afpacket.poll_timeout                                | Total                     | 154324
capture.afpacket.poll_data                                   | Total                     | 47
decoder.pkts                                                 | Total                     | 402
decoder.bytes                                                | Total                     | 287822
decoder.ipv4                                                 | Total                     | 375
decoder.ipv6                                                 | Total                     | 8
decoder.ethernet                                             | Total                     | 402
decoder.arp                                                  | Total                     | 19
decoder.tcp                                                  | Total                     | 375
tcp.syn                                                      | Total                     | 3
tcp.synack                                                   | Total                     | 3
decoder.icmpv6                                               | Total                     | 8
decoder.avg_pkt_size                                         | Total                     | 715
decoder.max_pkt_size                                         | Total                     | 1486
flow.total                                                   | Total                     | 5
flow.tcp                                                     | Total                     | 3
flow.icmpv6                                                  | Total                     | 2
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 4
decoder.event.ipv6.zero_len_padn                             | Total                     | 8
tcp.sessions                                                 | Total                     | 3
tcp.ssn_from_pool                                            | Total                     | 3
tcp.segment_from_cache                                       | Total                     | 171
tcp.segment_from_pool                                        | Total                     | 16
tcp.overlap                                                  | Total                     | 2
detect.alert                                                 | Total                     | 2
app_layer.flow.http                                          | Total                     | 3
app_layer.tx.http                                            | Total                     | 3
flow.end.state.new                                           | Total                     | 2
flow.end.state.closed                                        | Total                     | 3
flow.end.tcp_state.closed                                    | Total                     | 3
flow.mgr.full_hash_pass                                      | Total                     | 194
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 9605
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 11
flow.mgr.flows_notimeout                                     | Total                     | 6
flow.mgr.flows_timeout                                       | Total                     | 5
flow.mgr.flows_evicted                                       | Total                     | 5
memcap.pressure                                              | Total                     | 7
memcap.pressure_max                                          | Total                     | 7
defrag.memuse                                                | Total                     | 33554432
flow.recycler.recycled                                       | Total                     | 5
flow.recycler.queue_max                                      | Total                     | 1
tcp.memuse                                                   | Total                     | 4980736
tcp.reassembly_memuse                                        | Total                     | 917504
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7234304
---------------------------------------------------------------------------------------------------
Date: 5/6/2026 -- 03:26:22 (uptime: 0d, 00h 32m 25s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 405
capture.afpacket.polls                                       | Total                     | 155083
capture.afpacket.poll_timeout                                | Total                     | 155036
capture.afpacket.poll_data                                   | Total                     | 47
decoder.pkts                                                 | Total                     | 402
decoder.bytes                                                | Total                     | 287822
decoder.ipv4                                                 | Total                     | 375
decoder.ipv6                                                 | Total                     | 8
decoder.ethernet                                             | Total                     | 402
decoder.arp                                                  | Total                     | 19
decoder.tcp                                                  | Total                     | 375
tcp.syn                                                      | Total                     | 3
tcp.synack                                                   | Total                     | 3
decoder.icmpv6                                               | Total                     | 8
decoder.avg_pkt_size                                         | Total                     | 715
decoder.max_pkt_size                                         | Total                     | 1486
flow.total                                                   | Total                     | 5
flow.tcp                                                     | Total                     | 3
flow.icmpv6                                                  | Total                     | 2
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 4
decoder.event.ipv6.zero_len_padn                             | Total                     | 8
tcp.sessions                                                 | Total                     | 3
tcp.ssn_from_pool                                            | Total                     | 3
tcp.segment_from_cache                                       | Total                     | 171
tcp.segment_from_pool                                        | Total                     | 16
tcp.overlap                                                  | Total                     | 2
detect.alert                                                 | Total                     | 2
app_layer.flow.http                                          | Total                     | 3
app_layer.tx.http                                            | Total                     | 3
flow.end.state.new                                           | Total                     | 2
flow.end.state.closed                                        | Total                     | 3
flow.end.tcp_state.closed                                    | Total                     | 3
flow.mgr.full_hash_pass                                      | Total                     | 194
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 9605
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 11
flow.mgr.flows_notimeout                                     | Total                     | 6
flow.mgr.flows_timeout                                       | Total                     | 5
flow.mgr.flows_evicted                                       | Total                     | 5
memcap.pressure                                              | Total                     | 7
memcap.pressure_max                                          | Total                     | 7
defrag.memuse                                                | Total                     | 33554432
flow.recycler.recycled                                       | Total                     | 5
flow.recycler.queue_max                                      | Total                     | 1
tcp.memuse                                                   | Total                     | 4980736
tcp.reassembly_memuse                                        | Total                     | 917504
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7234304
---------------------------------------------------------------------------------------------------
Date: 5/6/2026 -- 03:26:30 (uptime: 0d, 00h 32m 33s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 405
capture.afpacket.polls                                       | Total                     | 155563
capture.afpacket.poll_timeout                                | Total                     | 155516
capture.afpacket.poll_data                                   | Total                     | 47
decoder.pkts                                                 | Total                     | 402
decoder.bytes                                                | Total                     | 287822
decoder.ipv4                                                 | Total                     | 375
decoder.ipv6                                                 | Total                     | 8
decoder.ethernet                                             | Total                     | 402
decoder.arp                                                  | Total                     | 19
decoder.tcp                                                  | Total                     | 375
tcp.syn                                                      | Total                     | 3
tcp.synack                                                   | Total                     | 3
decoder.icmpv6                                               | Total                     | 8
decoder.avg_pkt_size                                         | Total                     | 715
decoder.max_pkt_size                                         | Total                     | 1486
flow.total                                                   | Total                     | 5
flow.tcp                                                     | Total                     | 3
flow.icmpv6                                                  | Total                     | 2
flow.wrk.spare_sync_avg                                      | Total                     | 100
